date,price
2024-07-01,2450.50
2024-07-02,2468.20
2024-07-03,2455.80
2024-07-04,2472.10
2024-07-05,2491.30
2024-07-08,2485.60
2024-07-09,2503.40
2024-07-10,2518.70
2024-07-11,2507.90
2024-07-12,2525.30
2024-07-15,2542.80
2024-07-16,2535.10
2024-07-17,2551.40
2024-07-18,2568.90
2024-07-19,2557.20
2024-07-22,2574.60
2024-07-23,2589.30
2024-07-24,2578.50
2024-07-25,2595.80
2024-07-26,2612.40
2024-07-29,2605.70
2024-07-30,2623.10
2024-07-31,2638.40
2024-08-01,2627.60
2024-08-02,2645.20
2024-08-05,2632.80
2024-08-06,2618.50
2024-08-07,2635.90
2024-08-08,2652.30
2024-08-09,2668.70
2024-08-12,2684.10
2024-08-13,2671.40
2024-08-14,2688.80
2024-08-15,2705.20
2024-08-16,2692.50
2024-08-19,2709.90
2024-08-20,2726.30
2024-08-21,2713.60
2024-08-22,2731.00
2024-08-23,2748.40
2024-08-26,2762.70
2024-08-27,2749.10
2024-08-28,2766.50
2024-08-29,2782.90
2024-08-30,2799.30
2024-09-02,2814.60
2024-09-03,2801.90
2024-09-04,2789.30
2024-09-05,2806.70
2024-09-06,2823.10
2024-09-09,2837.40
2024-09-10,2851.80
2024-09-11,2838.20
2024-09-12,2854.60
2024-09-13,2871.00
2024-09-16,2885.30
2024-09-17,2871.70
2024-09-18,2888.10
2024-09-19,2904.50
2024-09-20,2921.90
